TSN, Consumer Staples, Feature Numbers: 0.5021582 0.12613486 0.10273396 -0.22125244 -0.17866881 -0.22813809 0.17498769 -0.37399772 -0.09085208 -0.618271 -0.102433756 -0.4380235 -0.0048404154 0.3464614 0.14960171 
SYMC, Information Technology, Feature Numbers: 0.3534705 -0.058672994 0.20845091 0.15284653 -0.0605417 -0.24947308 0.09559545 -0.2740502 0.13492835 -0.4230047 -0.18565775 -0.45969906 0.02002172 0.5692169 -0.10312729 
BEN, Financials, Feature Numbers: 0.2814277 -0.4702808 -0.44961476 0.5781194 0.3372434 -0.8564763 0.12414521 0.028679812 0.9974068 0.19432534 -0.68518513 -0.079058446 -0.44108942 0.25787988 -0.010354385 
CMI, Industrials, Feature Numbers: 0.42541125 -0.30923203 0.048334274 0.59275395 0.31309205 -0.92999864 0.07951414 -0.31979915 0.62078106 0.47772875 -1.0001786 0.37530643 -0.2494325 0.45693967 0.054517943 
DISCA, Consumer Discretionary, Feature Numbers: 0.3892994 0.5914319 0.76293707 0.7488454 -0.38807115 0.6232506 0.83853745 0.4070237 -0.016706022 0.22191852 -0.33075374 -1.0182476 0.17443503 2.0352194 -0.6497534 
CMG, Consumer Discretionary, Feature Numbers: 0.4674343 0.0001919165 0.42527813 0.60104066 -0.39114034 0.37963519 0.38532507 0.5358213 0.01743916 -0.19462927 -0.23475818 -0.86418307 -0.38351774 1.1583527 -0.04361711 
ALB, Materials, Feature Numbers: 0.50766915 0.044486336 0.22189315 0.39785278 0.025248162 -0.30335638 0.24718934 0.14974701 0.21724379 0.07792391 -0.18535161 -0.37607414 -0.05751543 0.9791495 0.017331282 
CME, Financials, Feature Numbers: 0.4829217 -0.2242301 -0.22625448 0.027473835 0.05274405 -0.7435538 -0.030067675 -0.15777515 0.6987796 -0.06884401 -0.357144 -0.22160873 -0.0736131 0.23049673 -0.08863649 
DTE, Utilities, Feature Numbers: 1.2313055 0.53899336 -0.21786533 -2.391056 -0.6278749 -0.31359616 -1.0053953 -2.9777303 -0.9469107 -2.1813211 0.36767796 0.2887158 1.7193526 -0.79060096 0.5222348 
NKE, Consumer Discretionary, Feature Numbers: 0.43349975 -0.5947972 -0.24952984 0.12931104 0.11426302 -0.3295584 0.045697346 -0.2882832 0.15248393 -0.44880927 -0.10435924 -0.34743237 -0.6691467 0.08148633 -0.036316756 
